ID,Name,Low,Mid,High,Max,Unit,Malaria Consortium,Against Malaria Foundation,Deworm the World,Helen Keller International,New Incentives,GiveDirectly,The END Fund,SCI Foundation,Sightsavers,Village Enterprise,Seva,JAAGO Foundation,UNICEF south africa,Lola Karimova-Tillyaeva,Cambodian Children's Fund,Plan vivo,Gold Standard,Founders Pledge Climate change fund,Clean Air Task Force,WILD Foundation,Cool earth,ACE's Recommended Charity Fund,New Harvest,Oceana,Environmental Working Group,Rainforest alliance,Sustainable Food Trust,OceanCleanup
offset-planetary,Planetary boundaries,4.368046083,15.55328803,32.33636269,50,$,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
offset-planetary0,Climate crisis,37.25813454,71.38539243,80.28390503,100,%,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
offset-planetary00,Nature based offsets,0,33.33333333,100,100,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.001,0,0,0.002,0.002,0,0,0,0,0.002,0,0
offset-planetary01,Reducing emissions,0,33.33333333,100,100,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.002,0.002,0,0,0,0,0,0,0,0,0
offset-planetary02,Sustainable technology R&D,0,33.33333333,50,100,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.003,0,0,0,0,0,0,0,0,0
offset-planetary2,Nitrogen and phosphorus cycle,1.588325388,3.126984094,9.211858593,100,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.0025,0.001,0.002,0,0.0025,0
offset-planetary4,Freshwater use,0.931574209,1.845952004,3.624988461,100,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.002,0,0.001,0,0.004,0
offset-planetary5,Deforestation and other land changes,6.690776274,15.3295007,34.49343949,100,%,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
offset-planetary50,Primary forest loss,11.60556916,23.77007895,55.50182964,100,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0.001,0.001,0,0,0.004,0,0
offset-planetary51,Secondary forest loss,37.53213195,54.57943743,70.61668529,100,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.001,0,0,0,0,0,0,0,0,0,0,0
offset-planetary52,Other land changes,2.860730651,21.65048362,52.50146878,100,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0.002,0.002,0.002,0,0,0,0
